-243365.000000-79628.000000j, 135408.000000-253595.000000j, 283495.000000+149072.000000j, -57390.000000+355701.000000j, -386135.000000+68130.000000j, -94798.000000-329999.000000j, 344255.000000-131931.000000j, 364425.000000+286478.000000j, -92688.000000+444350.000000j, -504349.000000+102857.000000j, -413010.000000-429337.000000j, 133334.000000-645795.000000j, 672088.000000-373764.000000j, 882973.000000+250466.000000j, 604342.000000+848687.000000j, 1352.000000+1105189.000000j, -589246.000000+1082717.000000j, -1098918.000000+880205.000000j, -1440682.000000+463225.000000j, -1631980.000000+3296.000000j, -1652273.000000-390765.000000j, -1602581.000000-657568.000000j, -1626678.000000-784183.000000j, -1580934.000000-762915.000000j, -1574083.000000-704575.000000j, -1656819.000000-434321.000000j, -1670768.000000-82876.000000j, -1553325.000000+319260.000000j, -1327638.000000+763917.000000j, -848033.000000+1115609.000000j, -322258.000000+1260284.000000j, 271515.000000+1153405.000000j, 801952.000000+690396.000000j, 931613.000000-146.000000j, 528692.000000-607316.000000j, -149953.000000-674554.000000j, -549021.000000-203126.000000j, -422438.000000+344804.000000j, 97585.000000+532445.000000j, 410008.000000+146709.000000j, 253522.000000-287557.000000j, -229667.000000-295243.000000j, -277213.000000+139559.000000j, 74084.000000+306496.000000j, 321047.000000-23058.000000j, -1965.000000-268814.000000j, -278742.000000-8516.000000j, -34723.000000+292564.000000j, 229175.000000-22.000000j, -17951.000000-201523.000000j, -200515.000000+91915.000000j, 
33775.000000-253797.000000j, 269987.000000+58444.000000j, -26603.000000+294761.000000j, -252222.000000+14737.000000j, -16618.000000-341744.000000j, 345085.000000-129964.000000j, 198943.000000+341206.000000j, -293948.000000+359407.000000j, -528900.000000-79903.000000j, -181181.000000-607058.000000j, 488791.000000-508333.000000j, 816542.000000+71975.000000j, 538433.000000+721452.000000j, -126551.000000+1081422.000000j, -819373.000000+886453.000000j, -1251986.000000+340551.000000j, -1389534.000000-327647.000000j, -1207839.000000-955711.000000j, -892325.000000-1400647.000000j, -497261.000000-1645170.000000j, -154055.000000-1785767.000000j, 104517.000000-1828344.000000j, 249054.000000-1803756.000000j, 227430.000000-1869775.000000j, 137628.000000-1836753.000000j, -91184.000000-1739132.000000j, -401678.000000-1688608.000000j, -752291.000000-1519531.000000j, -1109988.000000-1192835.000000j, -1380689.000000-678037.000000j, -1428279.000000-33544.000000j, -1187245.000000+622880.000000j, -581258.000000+1138232.000000j, 221131.000000+1083926.000000j, 810439.000000+572803.000000j, 873685.000000-203461.000000j, 222438.000000-765897.000000j, -443008.000000-521017.000000j, -569353.000000+94238.000000j, -182395.000000+504146.000000j, 352686.000000+313802.000000j, 347402.000000-210544.000000j, -94295.000000-293900.000000j, -261063.000000+40379.000000j, 63859.000000+247504.000000j, 240349.000000-79569.000000j, -55589.000000-269528.000000j, -272433.000000+48355.000000j, 68978.000000+227355.000000j, 156926.000000-61705.000000j, -173162.000000-141885.000000j, 
247147.000000-27342.000000j, -7421.000000+258643.000000j, -333063.000000+8375.000000j, -93821.000000-312566.000000j, 284297.000000-109697.000000j, 178099.000000+323976.000000j, -330397.000000+248581.000000j, -429247.000000-271042.000000j, 20562.000000-624525.000000j, 643339.000000-337665.000000j, 686213.000000+404107.000000j, 89028.000000+927883.000000j, -653248.000000+777586.000000j, -1174257.000000+148270.000000j, -1142239.000000-595444.000000j, -769031.000000-1213151.000000j, -196059.000000-1559324.000000j, 493738.000000-1650388.000000j, 1121581.000000-1407829.000000j, 1591163.000000-1093910.000000j, 1834831.000000-761935.000000j, 1953356.000000-480951.000000j, 2050404.000000-314868.000000j, 2022095.000000-281390.000000j, 1997090.000000-425129.000000j, 1878058.000000-656525.000000j, 1647635.000000-963787.000000j, 1282293.000000-1299067.000000j, 790194.000000-1525880.000000j, 191500.000000-1595475.000000j, -383059.000000-1421292.000000j, -926607.000000-1008095.000000j, -1278299.000000-304636.000000j, -1102002.000000+511569.000000j, -428564.000000+1062849.000000j, 443547.000000+907500.000000j, 889821.000000+128001.000000j, 479022.000000-591284.000000j, -210133.000000-565962.000000j, -522876.000000-76151.000000j, -236494.000000+428411.000000j, 302348.000000+269773.000000j, 247514.000000-185426.000000j, -161963.000000-227779.000000j, -254764.000000+194730.000000j, 104334.000000+272428.000000j, 240396.000000-59271.000000j, -95491.000000-199400.000000j, -196133.000000+146830.000000j, 99382.000000+176447.000000j, 85400.000000-138284.000000j, 
104851.000000+192906.000000j, -224731.000000+56166.000000j, -38466.000000-278728.000000j, 329855.000000-116395.000000j, 179577.000000+305933.000000j, -298673.000000+290845.000000j, -372807.000000-288445.000000j, 179164.000000-513048.000000j, 692493.000000-139850.000000j, 618166.000000+613838.000000j, -133721.000000+988345.000000j, -917514.000000+550158.000000j, -1061373.000000-317080.000000j, -638352.000000-964197.000000j, 19876.000000-1231040.000000j, 734091.000000-1185882.000000j, 1364169.000000-787322.000000j, 1664416.000000-100516.000000j, 1632077.000000+532705.000000j, 1392094.000000+1048122.000000j, 1210693.000000+1348034.000000j, 1036472.000000+1506659.000000j, 885522.000000+1585956.000000j, 843946.000000+1620411.000000j, 937474.000000+1588574.000000j, 1047471.000000+1458078.000000j, 1249604.000000+1211415.000000j, 1485242.000000+856704.000000j, 1639014.000000+268894.000000j, 1519817.000000-378570.000000j, 1123459.000000-915456.000000j, 506452.000000-1230505.000000j, -217829.000000-1298213.000000j, -956103.000000-833604.000000j, -1240930.000000+18864.000000j, -792140.000000+915910.000000j, 255019.000000+1122468.000000j, 922885.000000+361499.000000j, 684379.000000-423433.000000j, 13271.000000-719341.000000j, -550493.000000-222072.000000j, -237064.000000+374356.000000j, 254844.000000+249924.000000j, 213011.000000-199392.000000j, -219036.000000-204838.000000j, -186878.000000+193912.000000j, 176496.000000+209933.000000j, 165196.000000-167992.000000j, -219370.000000-146520.000000j, -151704.000000+194105.000000j, 133837.000000+106528.000000j, 
-191822.000000+194883.000000j, -161778.000000-189251.000000j, 221514.000000-154895.000000j, 224903.000000+275270.000000j, -234914.000000+283074.000000j, -379674.000000-241227.000000j, 161891.000000-476009.000000j, 557910.000000-66791.000000j, 386499.000000+587753.000000j, -384687.000000+756866.000000j, -1009577.000000+171449.000000j, -894216.000000-745555.000000j, -136410.000000-1188353.000000j, 612547.000000-1063134.000000j, 1196433.000000-593578.000000j, 1436475.000000+160012.000000j, 1237407.000000+965168.000000j, 709161.000000+1424640.000000j, 175292.000000+1580162.000000j, -276626.000000+1594572.000000j, -642529.000000+1537335.000000j, -897405.000000+1486906.000000j, -1017189.000000+1428982.000000j, -1017598.000000+1353275.000000j, -962986.000000+1385606.000000j, -796798.000000+1471302.000000j, -494249.000000+1506709.000000j, -105882.000000+1513313.000000j, 421231.000000+1447110.000000j, 902955.000000+1176696.000000j, 1279337.000000+641109.000000j, 1358155.000000-55906.000000j, 1048051.000000-723070.000000j, 347011.000000-1242782.000000j, -552278.000000-1156140.000000j, -1220184.000000-402808.000000j, -1001234.000000+661427.000000j, -14879.000000+1011884.000000j, 691454.000000+488251.000000j, 704883.000000-263333.000000j, -3538.000000-602399.000000j, -456976.000000-56244.000000j, -126381.000000+382367.000000j, 319111.000000+146667.000000j, 176151.000000-272690.000000j, -265414.000000-121743.000000j, -117182.000000+257422.000000j, 229003.000000+135291.000000j, 82436.000000-236785.000000j, -221424.000000-66326.000000j, -32333.000000+159863.000000j, 
-218532.000000-75855.000000j, 125786.000000-186113.000000j, 214544.000000+151767.000000j, -202067.000000+301478.000000j, -394480.000000-160998.000000j, 60122.000000-445315.000000j, 543805.000000-30905.000000j, 365076.000000+600894.000000j, -335118.000000+662692.000000j, -876368.000000+101903.000000j, -697731.000000-806247.000000j, 231046.000000-1129319.000000j, 968471.000000-618503.000000j, 1199935.000000+141596.000000j, 1015455.000000+871843.000000j, 419595.000000+1385375.000000j, -410181.000000+1391241.000000j, -977953.000000+1069056.000000j, -1288650.000000+635666.000000j, -1405472.000000+171432.000000j, -1399925.000000-218305.000000j, -1303948.000000-535770.000000j, -1241711.000000-651433.000000j, -1221074.000000-669108.000000j, -1275629.000000-622622.000000j, -1380397.000000-446344.000000j, -1448403.000000-114841.000000j, -1388191.000000+380552.000000j, -1126759.000000+851515.000000j, -611468.000000+1153972.000000j, -28701.000000+1269532.000000j, 606474.000000+1090790.000000j, 1106343.000000+513811.000000j, 1222709.000000-265911.000000j, 739646.000000-1017993.000000j, -310958.000000-1298686.000000j, -1154044.000000-516533.000000j, -935460.000000+529999.000000j, -117976.000000+941570.000000j, 683568.000000+513984.000000j, 611683.000000-364574.000000j, -123999.000000-591310.000000j, -482774.000000+15063.000000j, -40256.000000+390671.000000j, 360692.000000+90558.000000j, 39244.000000-328865.000000j, -285238.000000-43433.000000j, -37165.000000+237819.000000j, 201642.000000-25047.000000j, -70614.000000-180590.000000j, -151114.000000+106030.000000j, 
-42201.000000-269586.000000j, 245597.000000-35876.000000j, 30134.000000+244607.000000j, -226251.000000-54032.000000j, 114706.000000-432344.000000j, 541805.000000-123623.000000j, 378711.000000+548121.000000j, -417969.000000+673674.000000j, -871860.000000+55747.000000j, -610073.000000-785307.000000j, 368875.000000-1047641.000000j, 1104611.000000-356805.000000j, 967047.000000+546433.000000j, 469585.000000+1054679.000000j, -262461.000000+1240075.000000j, -1055069.000000+913629.000000j, -1413879.000000+153166.000000j, -1182125.000000-581713.000000j, -778528.000000-1015282.000000j, -335383.000000-1144014.000000j, 17082.000000-1127188.000000j, 310501.000000-1073101.000000j, 477028.000000-1028528.000000j, 525234.000000-1036725.000000j, 447719.000000-1054581.000000j, 279260.000000-1117275.000000j, -35097.000000-1200755.000000j, -436467.000000-1146429.000000j, -865858.000000-888473.000000j, -1195578.000000-340010.000000j, -1169155.000000+427168.000000j, -675984.000000+1003417.000000j, 25588.000000+1160879.000000j, 665347.000000+925914.000000j, 1155587.000000+270903.000000j, 1016762.000000-816427.000000j, -149850.000000-1251450.000000j, -884650.000000-490086.000000j, -811618.000000+366392.000000j, -53581.000000+876647.000000j, 659311.000000+330840.000000j, 451693.000000-370020.000000j, -257079.000000-419169.000000j, -349197.000000+133425.000000j, 80638.000000+336142.000000j, 278978.000000-122100.000000j, -123891.000000-250821.000000j, -241249.000000+120878.000000j, 135439.000000+203580.000000j, 126771.000000-122003.000000j, -193856.000000-82948.000000j, 
119630.000000-138458.000000j, 85908.000000+176861.000000j, -301691.000000+74854.000000j, -185867.000000-307517.000000j, 374968.000000-238287.000000j, 394815.000000+420562.000000j, -245849.000000+699696.000000j, -860257.000000+80366.000000j, -606681.000000-817340.000000j, 287131.000000-1032483.000000j, 1052942.000000-377480.000000j, 904445.000000+651356.000000j, 110836.000000+1030673.000000j, -567764.000000+845506.000000j, -1097200.000000+273772.000000j, -1051232.000000-569284.000000j, -519640.000000-1055912.000000j, 99955.000000-1054575.000000j, 666748.000000-820255.000000j, 985666.000000-491925.000000j, 1103317.000000-103918.000000j, 1148158.000000+282000.000000j, 1219870.000000+550691.000000j, 1260155.000000+654098.000000j, 1293266.000000+594513.000000j, 1322113.000000+338305.000000j, 1269526.000000-102204.000000j, 1067085.000000-528121.000000j, 732847.000000-875008.000000j, 147063.000000-1126285.000000j, -592768.000000-1029677.000000j, -1142173.000000-375471.000000j, -1034561.000000+473479.000000j, -511769.000000+923421.000000j, 249489.000000+1094695.000000j, 1122307.000000+428106.000000j, 901429.000000-772629.000000j, -178088.000000-986403.000000j, -835192.000000-377384.000000j, -725094.000000+532097.000000j, 204983.000000+753739.000000j, 634129.000000+123024.000000j, 204406.000000-526231.000000j, -417200.000000-245520.000000j, -314360.000000+289292.000000j, 223359.000000+223574.000000j, 137612.000000-175500.000000j, -226024.000000-79804.000000j, -59826.000000+234685.000000j, 179944.000000+36861.000000j, -50433.000000-185417.000000j, 
192503.000000+58819.000000j, -101023.000000+221471.000000j, -201241.000000-141311.000000j, 219021.000000-293793.000000j, 536831.000000+227156.000000j, -99034.000000+696539.000000j, -816626.000000+305047.000000j, -767030.000000-646739.000000j, 282276.000000-1039587.000000j, 1064727.000000-357694.000000j, 999176.000000+719650.000000j, 12237.000000+1223184.000000j, -849819.000000+766540.000000j, -1061016.000000-27132.000000j, -715669.000000-736592.000000j, 27569.000000-1024636.000000j, 750752.000000-745389.000000j, 1087065.000000-104672.000000j, 1021641.000000+631241.000000j, 671243.000000+1218271.000000j, 148195.000000+1580910.000000j, -330907.000000+1718944.000000j, -653819.000000+1825472.000000j, -804639.000000+1879119.000000j, -662232.000000+1974996.000000j, -271338.000000+2017737.000000j, 322937.000000+1841208.000000j, 926883.000000+1361135.000000j, 1248849.000000+604471.000000j, 1206886.000000-165158.000000j, 799230.000000-842281.000000j, -5155.000000-1117347.000000j, -752808.000000-777954.000000j, -1068359.000000-75278.000000j, -854803.000000+802248.000000j, 185647.000000+1252961.000000j, 1107479.000000+365038.000000j, 761135.000000-639507.000000j, -142958.000000-904062.000000j, -803376.000000-192063.000000j, -384261.000000+601300.000000j, 396263.000000+540108.000000j, 579040.000000-204974.000000j, -66676.000000-484091.000000j, -399384.000000-3584.000000j, 31280.000000+343470.000000j, 282945.000000-34039.000000j, -66454.000000-260965.000000j, -249150.000000+69765.000000j, 92022.000000+174599.000000j, 118759.000000-142440.000000j, 
66397.000000+140811.000000j, -250708.000000-12164.000000j, 4022.000000-372918.000000j, 487161.000000-90045.000000j, 296854.000000+644908.000000j, -565810.000000+510382.000000j, -837759.000000-400234.000000j, -101010.000000-1102212.000000j, 945067.000000-616694.000000j, 1062963.000000+441239.000000j, 173703.000000+1144388.000000j, -832100.000000+674038.000000j, -920321.000000-310397.000000j, -356564.000000-898233.000000j, 445733.000000-873241.000000j, 1076429.000000-248116.000000j, 1012498.000000+817402.000000j, 206650.000000+1515928.000000j, -748344.000000+1641242.000000j, -1633957.000000+1322691.000000j, -2264649.000000+850909.000000j, -2666371.000000+395915.000000j, -2866127.000000+54219.000000j, -2941449.000000+62503.000000j, -2987186.000000+293170.000000j, -2783913.000000+774586.000000j, -2309903.000000+1409966.000000j, -1454309.000000+1988830.000000j, -244355.000000+2082005.000000j, 894659.000000+1606176.000000j, 1492761.000000+566282.000000j, 1203879.000000-527665.000000j, 502121.000000-1092638.000000j, -380026.000000-1119608.000000j, -1171276.000000-449871.000000j, -975722.000000+781690.000000j, 239146.000000+1077226.000000j, 884429.000000+266709.000000j, 561621.000000-628366.000000j, -389471.000000-679329.000000j, -689296.000000+162420.000000j, -141555.000000+709007.000000j, 565731.000000+256726.000000j, 294295.000000-431804.000000j, -359944.000000-332577.000000j, -311804.000000+273507.000000j, 195272.000000+252465.000000j, 142270.000000-179789.000000j, -201402.000000-98570.000000j, -41369.000000+218766.000000j, 189943.000000-2810.000000j, 
-88071.000000+183979.000000j, -213434.000000-200201.000000j, 248668.000000-293207.000000j, 424817.000000+301392.000000j, -264254.000000+653604.000000j, -886359.000000+1759.000000j, -428865.000000-908192.000000j, 682205.000000-825658.000000j, 1096976.000000+205963.000000j, 377814.000000+1097398.000000j, -763160.000000+799621.000000j, -965238.000000-269453.000000j, -181313.000000-872922.000000j, 620753.000000-637272.000000j, 1073972.000000+209345.000000j, 657597.000000+1327131.000000j, -615846.000000+1748249.000000j, -1872966.000000+1242169.000000j, -2640055.000000+174952.000000j, -2875621.000000-890830.000000j, -2884436.000000-1877794.000000j, -2775444.000000-2635530.000000j, -2702154.000000-3095036.000000j, -2719476.000000-3225552.000000j, -2943502.000000-3036512.000000j, -3267244.000000-2454034.000000j, -3543433.000000-1469959.000000j, -3382009.000000-199837.000000j, -2740618.000000+1168083.000000j, -1501337.000000+2080196.000000j, 144715.000000+2134139.000000j, 1315374.000000+1138706.000000j, 1456481.000000-138468.000000j, 857758.000000-1084107.000000j, -367571.000000-1347351.000000j, -1332182.000000-349078.000000j, -808308.000000+834903.000000j, 355871.000000+905245.000000j, 877546.000000+60477.000000j, 287116.000000-767705.000000j, -603269.000000-442601.000000j, -605281.000000+367047.000000j, 215681.000000+574879.000000j, 473398.000000-100868.000000j, -66756.000000-434789.000000j, -390266.000000+33793.000000j, 7776.000000+315468.000000j, 245623.000000-66280.000000j, -94510.000000-220012.000000j, -227723.000000+133699.000000j, 88891.000000+170333.000000j, 
